Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),top_3_strengths,top_3_improve,other_feedback
"I think the academic challenge varies by subject; math, science, and language arts are appropriately challenging, while I feel social studies and Spanish might be less rigorous.",,,,,,Junior high conferences were less instructive than the lower grades.,,,,,,,,,,Melissa Green is superlative on this front.  I have found 4th grade to be less successful.,,,,"Academics, community, Catholic identity",,I would just like to say that Mrs. Lewis and Mrs. Green are absolutely fantastic.  I truly feel they go above and beyond when it comes to my children's academic needs.
,,,,,,,,,,,,,,,,,,,,,,
,,,most are; some seem less,,,,,,,,,,,,,,,,,administrative leadership; the commitment of some teachers; an environment committed to Christian principles,certain teachers may have lost interest/motivation; innovative teaching strategies; incorporation of technogoloy,
,,,,,Haven't had a report card yet,Haven't had one of these either,Haven't experienced this yet!,,,,,,,,,,,,,"School/parent communication.
Extremely safe pick up/drop off procedure -  well organised
Open to parent involvement",I don't think we are at SJGS long enough to comment here!,
,,,,,,,,,,,,,,,,,,,,,In class technology. ,
,,,,,,,,,,,,,,,,,,,,,,"Not thrilled with Junior High science instruction, or 8th grade english this year."
,"SJGS gets mostly the best and the brightest from good families. Teachers need to realize and appreciate these students and not get so hung up on ""regular"" child behavior and call it ""bad.""",,"Kids don't care how much teachers know until they know how much teachers care. Thus far, the majority of the teachers our kids have had seem to think the kids are there for them. The reverse needs to be true. I want teachers at SJGS who want to teach because they LOVE kids and care about ALL kids.",,,"Again, I wish teachers would/could articulate what God-given talents, gifts, skills, abilities our kids bring to the table which are different from others. All kids are special and all have unique gifts. Teachers need to be ""good finders"" and look for these.",,"""Practicing"" Catholicity is much different than ""teaching"" Catholicity. Be careful not to veer toward orthodoxy and rules. Rather, teach LOVE and MERCY.","I wish the 8th graders would go visit women who have had abortions and pray with them and show them support, love, and mercy, rather than carry signs and march.","Way too many ""stop and reflects"", etc. Be good finders. Accentuate the positive. Set high expectations and hold kids to those, but remember that they are kids who are learning and are not perfect. Part of our teacher training needs to be sending out teachers into a public school for a month to teach. Then they'd really appreciate the students they get to instruct!!","Need more after school sports, camps, activities at earlier ages.",,can be cliquish with all the ND folks,,,good old fashioned phone calls or text messages would be better than the inundation of emails,,,,The quality of the students and families there. The music program. The extra reading program.,Following the Pope's examples rather than our conservative Bishop's. The quality of the teachers/kids first teachers. A more demanding curriculum.,
,,,,,,,,,,,,,"The divide between elitist white collar and less well off blue collar families is profound. After 6 years the level of snobbery exhibited by some parents remains strong. The in your face materialism and overall ""keeping up with the Jones'"" mentality deflects from what should be an open and inviting atmosphere. ","On academics, yes the school is top notch. For welcoming atmosphere regardless of socioeconomic status, the school is very deficient.",,The science teacher has not been very timely in entering and updating grades. ,,,,"Academics, community outreach, athletics",Please reference earlier comments ,There remains serious security flaws in the school and other buildings on campus. Specifically lack of communication between the main office and church. 
,,,,,,,,,,,,,,,,,,,,"The teachers and administration, Catholic identity and family culture",,
"The class size is too big, research supports this.  The school NEVER had this many kids per grade when we first started here 10 years ago.",,We don't need more tools or computers.  Smaller classes and improved instruction in middle school are critical.  ,,"Yes for grade 3, no for middle school.  Not even close.  Only the homeroom teacher does any regular communication.",,"for middle school students, it is only when I directly reach out to teachers separate from conferences that I find it helpful.","Yes for new parents, a big NO for returning ones.  ","The loss of MJ and the Inner Challenge program is a big blow to the middle school curriculum and formation program.  The teacher is very dogmatic and approaches this age group in highly developmentally INAPPROPRIATE ways, rather insisting on her own convictions and claiming to be ""open"" to discussions but not fostering and environment that is actually open.  Abysmal is the word I would use.   I do like the service commitments at each grade and the efforts some of the teacher make to really integrate that work with the other work of the class. ","I have less issues with grades K-4. and again highly support the service efforts done at each grade level.  I believe the approach from Inner Challenge was much more educationally and psychologically sound.  The kids  in middle school are instead force fed ""dogma"" in an non-reflective practice.  Grades are given out for religion class, which if you think about it, really think about it means you are incentivizing kids who are primed to want to ""achieve"" to answer ""what is expected"" not what they think about or with any true reflection at all.  Again, the formation in the middle years is destructive to preteens and teens and I instruct my own kids to this effect for their protection. ",,Except for field trips.  Each year I've been here they've become less and less a priority.  I would rather spend money from the auction and HASA on field trips like prior years rather than more laptops.  ,,With middle school religion exceptions noted above. ,"I used to whole heartedly say yes, but less so now.  I feel there have been some positive changes recently, but also some really poor changes as well.  I've recommended it to almost a 100 people over the years, now I do so only with reservations as noted above - as well as instructional quality in middle school is pretty poor for Science.   ",,"Yes younger grades, NO for middle school.","Yes, very helpful!",,,"Community, Financial Stability, Most Teachers",Middle School - Science and new English Teacher; Religious Ed approach in Middle School (should be ungraded); More Field Trips,Thanks for all the hard work.  Take the feedback on class size and middle school seriously or you will hemorrhage students including my own! 
"It depends on the grade.... grade 2 tries to make things so hard that they are NOT developmentally appropriate.  There is total lack of consistency per grade and that makes it hard for kids to transition into the next... the only consistency is EveryDay Math (until 6th grade).  The Junior High is a mess, how do you teach any core subject without a text or readily available resources.  If textbooks are going to be used then parents should have access to support materials in a google file.",,,,,,"We are given student work that is outdated or not current.  I have received ""documentation"" that was over a month old at conferences.  ",We are told what the family expectation is and not the expectation we can expect from the teacher.  There is no teacher accountability.,,,Some get away with more than others.,If they fit into what is chosen by the teacher or school.  Students should be able to select their service focus for the year.  ,If there is a parent that does not work,"It has been in previous years; this cannot be said for this year.  It seems that if the school can communicate via technology and limit any face to face contact then thats the path we are traveling.  The newsletters are what you need to do more of and instead of celebrating our students in their learning.  When the principal writes that basically we not to communicate with him and go through the teacher, it says that he is not willing to be part of community.  It is understood that not all problems should be handled by the principal, but telling families that they basically should not contact him is very unwelcoming.  

I also believe that we are told by our students about things without communicating to the families.... we can't wear leggings or we can't wear green.  There seems to be snap decisions made without considering the school population of 5-14 year olds. ",If they are looking at the religious studies and understanding of their faith.  If they are looking for a diverse curriculum there are better options.  ,,It depends on the teacher and the grade... some are awesome others are last minute. It is very inconsistent.,"what about highlighting a class, teacher, staff member each newsletter..instead of the poorly written principal note?  ",Sure because a payment is expected.,The FACTS system has helped immensely with this process.,Catholic teachings,"The DRESSCODE is completely outdated.  Students are allowed to wear super tight pants, but can't wear cargo pants??? Or the jumpers can't be khaki or skirts? One teacher will tell a student they can't wear a certain pair of shoes, but my older child wear the same shoes and nothing will be said... ","When we selected St.Joe for our oldest child, we looked at academics, forward thinking methodology, and community. We have been drastically disappointed as time has gone on... our children are a number of years apart and our youngest is doing the exact same thing as our oldest.  The system is... you fit into what we are doing and if you do not there is something wrong with your child.  We have spent months on the same book study, we have had teachers lose assignment after assignment and blame the student only to be found and said ""oh, I found it"", we will get super old copies and are told they must turn in a neat assignment, and in general the number of worksheets that are being done is tiring.  Recently, our oldest came home and told us about the scores of the tournament games.  Why are they watching basketball during the instructional day and two days in a row? Or that they will get a stop and reflect for being late to class because their previous teacher isn't letting them out on time."
,,,,,,,,,,,,,,,,,,,,"Excellent teachers, strong curriculum, great administration","Non-Catholic families are paying higher tuition, would be nice for more ecumenical efforts to be made.",
,,,,Would love spring teacher conference ,,,,,,,,,,,,,,,,"Community, excellent teachers that we have had. Parental involvement ",,
,Teachers outsource teaching to parents.,,,,,,,,,,,,Too much classism and social comparison by students from wealthy fsmilies.,,,,,,,"Education, location, social development","Less focus on religion, more focus on academics",
,,,,,,,,,,,,,,,,,,,,,,
Wish that we could push in math and science more,,,,,,,,,,,,,,,,,,,,"Junior high very strong 
Sense of community/catholic faith and teaching
Great prep for high school","We are behind in math and science compared to other local school
Food provided for kids through new lunch program 
Library assistance\resource",Great changes this year. Very happy with school! 
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,I was floored to see the dated worksheets that are sent home.  I am not a teacher but I would think there is something more relevant and engaging.,,,"They don't match the grades on tests and homework.  If they are going to be given a level of mastery from 1-5 then the homework should correspond instead of this check plus, check, check minus system",,,,,"I have never seen anything regarding discipline, what systems are in place and how or who handles different types of situations.",,,,,,,,,,"Strong faith base, good technology, good parental involvement ",,
"I think the teachers do an amazing job with the number of kids there are in each grade, but the exceptionally bright kids really need to be challenged more.  Perhaps more independent studies along with the regular curriculum.  Though I do think the teachers already have enough on their plate.  May need to be done ad hoc.",,,,,,,,,,,,,"Welcoming for us, but really needs more diversity.  Think this may need to be done intentionally in order to make St Joe represent the larger community better.",,,,,,,"High level of student ability, parent involvement, and strength of teachers.","Diversity, utilize the gifts of parents more (i.e. have engineering PhD parents run an engineering club, robotics group, etc), and better school plays.  Make the old gym be a stage with a curtain for better performances.",
,,,,,,,,,,,,,,,,,,,,"Strong sense of community, strong academic reputation, great administrative staff","The lower grades could have more hands-on, open-ended learning opportunities such as time to play (even in small groups) and less ""crafty"" items at Centers. Some sort of communication (even monthly) about what the children are doing in specials classes. ",
"We have been disappointed in the level of instruction in english and social studies this year.  While I recognize it is challenging for brand new teachers to take the place of established ones, there has been a marked decline in the amount of work, such as written pieces, and volume of literature discussed.  Will Shakespeare be covered as promised in the beginning of the year?  And social studies, while ""fun"" has been ineffective. Little homework, little learning. ","While resources are provided to students who need extra help, few opportunities exist for stronger students. ",,,I hear little.  I suppose no news means my child is not causing problems,I would appreciate more teacher comments,Did not attend this year as we were not encouraged to,,,,"They appear to be unevenly applied, ie some children are punished while others committing same ""offense"" are not.  Too much emphasis on behavior - do you really need signs that say that no bottle flipping?  ",,,,,,I do not hear much. ,,You mean the email that is you don't register by a certain time you won't have priority any longer? ,Facts is easier.,"parent involvement, intelligent students, catholic character","availability of opportunities for gifted children, consistent teaching quality",
,,,,"kind of a mix - definitely yes for the younger children, but not as much for the upper grades",,,,,,,,,,,,,,,,"Catholic education, identity","I think there's a tendency for some cliqueness which is bound to happen anywhere, but when there's a smaller pool of students and families it feels more pronounced. ",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Academics, community and the teaching of catholic faith.",None,Very happy with SJGS
,,,,,,,,,,,,,,,,,,,,"Community, values, size","Teacher communication last year was a big issue for us, unusual for St. Joe.",
,,,,Too much communication from teachers.,Overdone - too much information.  Current breakdown not necessary.,,,,,,,,,,Don't know.,,,,,"education, teacher student ratios, curriculum",challenge top students more,
1. We are concerned that the amount of homework is often too much. Our daughter consistently spends upwards of 2 hours after school preparing for the next day.  2. It seems to us that the teachers do no always communicate with each other regarding tests that the students are preparing for thus the amount of concentrated study on a given day or week can be taxing for student and parent alike. ,,"1. Many times a homework assignment is given with no instructions on how to decipher the problem. When homework is required for the student, clear instructions on what needs to be done would prove extremely helpful. ","1. My wife and I have found that the teachers behavior can at times be crude non-reflective of good Catholic conduct. Ex. My daughter experienced one of her teachers disciplining her daughter by telling her to get out of the class room and then kicking her on the bottom as she went through the door. The students laughed at the behavior and to our regret our daughter proceeded to act this out on one of her friends and it turned into a situation of naive bullying. The parent consulted with us and said that his daughter felt abused. When we confronted our daughter she said, ""but my teacher did it and everyone laughed."" It is paramount that our teachers set good examples for their students. ",,,To a degree; it would be helpful to have one mid-year as well. ,,Our expectation is that our child be brought up in an institution that is educational and faith forming. Our hope is that SJGS is living up to those expectations. ,1. We often hear that crude language is being used by students 2. We hear of some bullying 3. We hear that teachers are often impolite in disciplining children - Faith and practice compliment each other and we would like to encourage more of this in the school. ,,,,,,,,,,"I would like to have a better understanding of what the additional fees are that keep being charged to my account throughout the school year. When I call to inquire, no good answer is given. Perhaps a keyword could be used beside the billing? ",Catholic teachings/academic reputation/sense of community,Faith and practice formation/Quality teachers/Clearer homework instructions,
,,,,,,,,,,,,,,,,,,,,"Academics, Culture, & Catholic Identity",N/A,I feel very blessed that my son Sean attends St. Joseph Grade School
This seems to vary depending on the subject and the teacher/grade level.,I would love for there to be more individual or small group attention for those subjects where kids are struggling.  ,I wonder if there isn't an opportunity to incorporate more technology into the classroom.,"This varies depending on the teacher, but overall, staff and teachers do seem enthusiastic.  ","While some teachers are fantastic communicators, others focus less on parent communication.  We're struggling with this particularly in fourth grade.  ",,"I with these were scheduled earlier in the year.  I understand there won't be significant information about student progress, but some preliminary conversation about a child's adjustment to the classroom would be helpful to get the year off to a good start.  ","There is some helpful information in these sessions, but it tends to be more helpful for meeting new teachers/new grades.",,,,"This has really improved over the last few years, especially in the younger grades.  Thank you.",,,,,This really depends on the teacher/grade.  We are struggling with this in fourth grade.  ,,,,Fantastic community; cost for large families; good academics ,I would love to see the school work hard to recruit and retain the strongest teachers.  It has been hard to see such fantastic teachers leave in recent years.,Thank you for asking for feedback!
,,,,,,,,,,,,,,,,,,,,Parent involvement ,,
Coming from another catholic grade school in our dioceses- I can say that SJGS is highly more challenging. I see it appropriate for the higher grade levels but placement for my son in the kindergarten program coming from 4/5 pre k was very disappointing. I found it extremely difficult and wonder if this is only due to the fact that there is a 5/6 program option for the students that fall in between. At our old school our son would have been placed in a kindergarten class. We still belong to that parish and plan to continue to remain there.,,,Most. I wonder if my daughter's homeroom teacher is experienced enough to be teaching junior high literature. We definitely saw a decrease in the material her class covered compared to our other school. ,,,,,,,,,,,,,,,,,"Challenging curriculum, structure of how faith is taught, outstanding group of students attending SJGS",,
,,,,"I usually need to contact the teachers, they do not usually contact me.",,,,,,,,,,,,,,,,"Academics, teachers & culture ",The school could do a better job of letting the kids in early in the morning.  Many parents do not work near the school and the kids have to stand outside.  The school needs to get with times on this.,
,,For 3rd grade my child is doing the same thing as older sibling - one would think some of the curriculum change or be updated ,,,,If the trimester ends on November 13 - why do we have to wait almost 10 days for report cards/conference? I would think that all grades are kept up throughout the trimester as well the information within the report card are kept up so the teacher isn't entering all information at the last minute. ,,,,,,,,,,Grades k-5 I find the teachers communicate more however 6th grade not so much because in part my child more than 2+ teachers ,,,,,,
,,,"I think SJGS has teachers that are enthusiastic, but not all of it's teachers are effective and many seem ""stuck"" in their way of teaching. SJGS has a handful of teachers who show a desire to grow professionally and try new things in their classroom to custom fit their class year to year. ",We often don't know how our child is doing in Science (Jr High) since assignments don't seem to be graded and logged in to Power School.,,,,,I think there is a considerable problem with disrespect with the Jr High students. ,,,,,,,,,,,"I am pleased with the new life that SJGS has been given this year. There is a great sense of community and, although some grades still suffer, most of the teaching staff makes SJGS an academically challenging place. ","I think there needs to be a change to the Jr High. Having had two other children go through SJGS, I believe that there is too much freedom given to an age that instead needs to be reined in.
So much of the curriculum content is predictable. There are certain grades that use the same content year after year (my younger children could probably skate through their classes using their older siblings materials). I believe the standards could still be met and at the same time introduce new projects.
Teachers expect the students to produce their best work, and yet they send home worksheets that are junky and outdated.  ",
,,,,,,,,,,,,,,,,,,,,"School community , location, academic rep",,
,,,They all seem to bring a lot of energy and joy to the day from what I hear.,"Yes, they are good at reaching out before a situation becomes a problem.",Power school is a great tool,,,,,,,,Nice family atmosphere,,,,Great job with this. ,,,"Christian faith and character development.
Academically challenging & enthusiatic environment.
Professional teachers and staff who genuinely care. ","After school care is pretty expensive for one child. Often, my child is only there for a half hour, and maybe a lesser amount for under an hour would be taken into consideration. ",Very pleased with this year. 
"I have found that much of the curriculum is old and out dated, inappropriate and irrelevant. Worksheets are busy work and completely outdated. Teachers do not use the Wilson/Fundations appropriately at the young level and students are missing HUGE phonemic awareness skills.  Many teachers just send MORE worksheets to challenge students and don't think outside of the box when challenging gifted and talented children.  With respect to the lower students,  students are pushed on to the next topic and are not given enough time to master concepts and skills are not well developed.  I was told one year that ""we have to move on even if he doesn't know it"". ","Within the lower grades, students are sent out of the classroom and are missing content learning.  Tier one instruction is priority and should be valued not missed.",,,Upper grades do not.,,There needs to be spring conferences as well.  I am unsure as to what a teacher can tell me when they've only known my child for 2-3 months.  I am more interested in spring conference growth.,,,,,,Parents should not do recess.  Teachers should.,,,,,"Repetitive at times.  I would like to see classroom teachers and content learning showcased.  Sometimes I know more about whats going on for funding, parish get togethers than whats going on in the classroom.",,,,,
,"More technology, such as tablets in the classroom",,,,,We would also like a conference in the Spring,,,,,,,,,,,,,,,,
This has been a disappointing year,,,,,,,,,Really miss inner challenge,,,,,,,,We got bumped from the list somehow and didn't realize this was still going out,,,"Opportunities to be leaders in exercising faith, academics in general, though this has been a weak year",Behavior of students with peers and teacher quality,
,,,,,,,It is difficult to attend all sessions due to conflicting times of the sessions for multiple children,,,,,,,,,,,,I like the options that are currently available to contribute. ,"Feel administration has listened to concerns when brought to their attention
",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Academics community curriculum,Class sizes are too big. Less emphasis on standardized tests and more on meeting kids where they are in their development.,It is a great school community. I especially like the family groups and the caring you instill in the students.
"we like the resource help, very crucial for our child",very good compared to other catholic schools,,,,,,,,,,,,,,,,,,,"academics, personal help, curriculum",getting them ready for high school academically,
One of my children is a bit of a late bloomer and she has struggled with the academic curriculum somewhat. ,"My 6th grader is really missing the Inner Challenge program for junior high students. I saw in our 8th grader what a difference it made in her ability to manage her time and stay organized, as well as the ways it helped her to be a stronger, healthier, and happier person.",,,,,,,,,,,,,,,,,,,"Caring & well educated teachers & staff; well-rounded educational environment (academics, arts, athletics); thoughtfulness in encouraging the children to be kind to one another.","Support for children who learn more slowly or differently from the majority of their classmates (and the parents of such children) could be improved, especially if the child does not qualify for an IEP or a 504 plan. Bringing back something like the Inner Challenge program that addresses self-awareness, and organizational and time management skills would be of great benefit to SJGS students.",
,,,,,,,"I think it would be helpful to have a bit more of an overview session -- maybe like all the primary grades together etc etc, and then grade level meetings in the classroom. The teachers work together so much (at least our experience in the early grades) that it's helpful to have them work together to talk about their goals and expectations. Perhaps this is specific to this year, in which there was a new teacher in each grade level for my children, but I'd like a bit more overarching guidance and then specific questions with each teacher.",,We particularly like family groups and the other ways that the school builds a kind and caring culture in which children look out for one another and feel part of a strong community.,"We generally have not had issues with this, but I do hear from my children about ""a bad kid"" or who gets the most ""stop & reflects,"" and I hope that discipline is largely handled in a positive, formative way, rather than punitive. I think that isolating students or punishing them with loss of recess, not being able to socialize at lunch, etc is not only ineffective, but counter-productive. The research largely shows this to be true, and I hope that the school staff will engage in conversations about how to build trust, confidence, and the ability to make good choices in all students, rather than singling students out through disciplinary procedures.",,,,,,,,,The use of FACTS for the vast majority of payments and fees is so very helpful!,"(1) Strong, caring community, (2) rigorous academics, and (3) responsive, engaged leadership","(1) Lunchtime -- it currently feels very restrictive and unpleasant (though it has improved over the course of this school year), and I really feel like lunch should be an enjoyable, social time for the kids. I recognize that they need to eat, and that sometimes they get a little rowdy, but the responses of making them eat in silence and threatening loss of recess seem overly harsh and make the whole time seem rather punitive. This is particularly the case in the 3rd-5th grade lunch period. 
(2) Class size -- while class sizes in the early grades improved a bit this year, they still seem large relative to what we know from research works best. Especially in K, they seem like they are bursting at the seams of those classrooms. I know it is hard with such high demand for the school, particularly in the early grades, but I encourage the administration to keep exerting some downward pressure on early grades class sizes to ensure the high quality for which the school is known.","Thanks! I appreciate the opportunity to offer thoughts, and we are generally very happy with all that the school leadership and staff do for our children."
,,,,,,,,,,,,,,,,,,,,Committed parents and parish; Holy Cross priests; generally strong students,The Math education is below the level of public schools.  The language education is limited and weak.  Students entering high school -- even the most academically capable students -- are therefore at a disadvantage.,"It appeared that this year there was a decision to ""teach to the ISTEP"" and really celebrate passing that test.  I'm not sure why that happened.  In the past my impression was that the ISTEP was a necessary evil that the teachers did not focus on.  And there was a consistently high pass rate.  Teaching to the test seems to be a regression in standards."
,,,,,,,,,,,,,,,,,,,,"Catholic identity, academically serious setting, nurturing environment","teacher communication, consistent disciplinary methods with teachers, more efficient pickup/drop off",
The second grade curriculum is appropriately challenging.  My sense of the kindergarten curriculum is that it could be more challenging.,,,,,,"The timing of the conference strikes me as a bit too early in the year to give meaningful feedback on a child's progress.  Although some comparative information is given, more would be helpful (e.g., this is how your child's skills in X compare to his/her classmates).",,,,,,"Kindergarten has restructured their centers such that parent volunteers are not needed.  That is fine, of course, but it would be nice to have some more volunteer opportunities for kindergarten parents that do not involve special-occasion parties. ",,,,,,,,"community, academic strength, Catholic formation",,"This is outside the scope of this survey, but if you could please work on expediting the on-foot pick up process that would be great.  (I gave up on it in the late fall, so perhaps it has changed since then.  But, for the first few months of the school year, it took way too long to wait for the list to be walked into the office and then wait for students to come out.)"
,,"I would strongly suggest a textbook for Spanish classes.  I am delighted with Mrs. McCollester's work, and would like the additional support for her, the program, and my kids.   ",,,,,"After Kindergarten, they could have been covered with a letter.  Besides, with 3 kids, we are unable to attend each grade level anyway.",,,I am thoroughly impressed with the system.  It is firm but affirming.,,,,,,,,,,"Communication, curriculum, teaching quality",,
,,,,,There are many numbers and number ranges. Sometimes these are difficult to understandâ€‹/interpret,,,,,,,,,,,,,,,,"I do not believe the students are getting enough time for free play. We were assured before the kindergarten year that many days would include two recess periods, but this does not seem to be the case. Please, please schedule more outdoor time and let these kids use up more energy!",
,,,,,,,,,,,,,,,,,,,,Family atmosphere (feel like the other students and parents are a part of my extended family),"I have a hard time remembering to buy script.  If i could have that automatically deducted from FACTS, and the gift cards sent gome with my child, it would be helpful. ",
I find it to be a very challenging curriculum but I am worried that it can be too challenging in some aspects and in other areas ( Spanish in a particular - very poor),I love the resource teachers in general and my children do depend on them... the overall resources in the classroom seem to be ok but in no way cutting edge.,,"Overall I feel like there are strong teachers but my concern is that in some of the recent hires, they were brought in and not the best candidates.  In addition, I would like to know if Mr. Azar has had sufficient enough time to evaluate some existing teachers to see if they are and continue to be the strongest people for the job.  ",I have had for the first time a feeling like we don't have a strong teacher overall in Mrs. Mammon.  I was worried from day one during parent orientation night when she seemed overwhelmed in even speaking to us and did not seem confident in her new role to teach a higher level.  Parent teacher conferences were not much better.... I have enrolled my daughter in Sylvan to just make sure she would be able to keep up if not get a head in math because I was not confident in her skills to teach the subject.  It was explained to me that Mrs. Young is assisting Mrs. Mammon in teaching math?  Why?  If she is there to assist each student and help one on one but I am not understanding this if she is needed and Mrs. Mammon lacks experience at this grade level.  If this is not the case then I have been mis informed.  ,"Report cards are very clear.... I would say Parent conferences are helpful if the teacher knows what they are reviewing ( Mrs. Mammon openly said "" I don't understand these results because they are new to me"")   ",see above... I do like the older children being involved in their conferences and was very impressed by this.  I thought it was very good and helpful.,"I think these are good overall.... we also might be benefited from once or twice a year a ""Town Meeting"" of sorts if the principle was willing to give a update on the school year ahead/ or during.  Just an idea.  I haven't been able to attend the once yet during the day but loved the idea of the opportunity to have George Present if there to ask questions.",I feel as though this has been the best programs and very age appropriate information we have received throughout our time here.  I think it is a blessing for our children to have this religion program.  I know it gets harder for Mrs. Gelchion as the kids get into the teen years but I think it is great.  I am not looking forward to what they are doing in the HS program honestly and may very well looks elsewhere than ST JOE HS partly due the the horrible things I have heard about Religion at ST JOE HS.... but I know that my children are getting a very solid base here,,I think the new administration seems to empower teachers more to do what they need to for this area and also seems to be giving the staff that ability to manage the problems effectively rather than it always seeming to need to go through the admin.  ,,Excellent and SJGS always seems to appreciate the efforts of parents as well.,,,,"Overall, I think the teachers do an amazing job at keeping information going out to parents.  Mrs. Schroeder this year has been awesome in her willingness to do everything to get info out to us and even to do the intstagram etc... I don't always have the time to read everything but amazing at how much they do share especially in the younger grades .",,,,"Academic reputation, Catholic Identity, School Community","Improvements in excurricular activities is improving with the new gym, The ratio is tough but manageable as long as the teachers can work within their spaces. ","I think the survey was great to have.  I feel like the new administration should be commended for the fact that I really feel like the school not only has a strong leader who is confident in himself  but for the first time I feel like the teachers are happy to be growing as leaders themselves.  They seem happier, more empowered  and willing to take independent roles in leading their classrooms.  I just feel like the previous admin had been so used to overseeing every aspect of the School, it dominated the growth of the staff.  

In the future, I would like to know if the current admin is taking a hard look at teacher development and evaluation process.  I would like to know if everyone ( old and new teachers) are under going strong evaluations regarding the standards that are expected by parents who have chosen to send their kids to SJGS.  I also hope that there is a opportunity to help teachers who might be good but have had no guidance regarding how they might change their programs ...I wondered if at some point how maybe a veteran teacher might be brought in to help our teachers become better teachers.  Maybe the new VP may be the person to do such a role but that sees to me to be the key to continuing our growth.  I have been surprised to hear from parents of former students to hear that they at times were not impressed with the teaching pool.... despite their overall pleasure with all aspects of the school.   This last year with so many families leaving the 6 th grade it made me question some of those thoughts.

Lastly, I just want to say that I feel strongly that there needs to be a change in the Spanish or language program we have at SJGS.  It has not been a priority for our family but I also feel like it is basically a waste of time that could be used for even kids learning more practical programs in either computers or learning to ""take notes"" or other practical test taking methodology.  I would love to keep language in the program but not the way it is right now.  These children are the perfect age and they seem to be learning nothing  now. 

I have several children using Resource teachers and my only other concern is that I don't understand why a child who is in the resource program the year before , comes back to school and is put on hold to receive resources for almost two months because the resource teacher has to do ""evaluations"" of the other students all over again.  That makes no sense to me.... a child who gets services at the end of a school year should go right back into services and then if seemingly doesn't need them anymore should be phased out.  The first two weeks of school teachers should be working to see what other students needs are but a ""evaluation"" of students who didn't need services the previous year seems silly.  I will be asking Mr. Azar about this in the coming weeks   

I would like to say that I think a great improvement has been in the arts, music and gym.  Mrs. Sweazy is a gift in particular and I hope we can do everything in our power to keep her for as long a possible.   She had transformed our Arts experience.   I also hope that we continue to develop music as I think Mrs. Hill is and work to improve the gym and physical fitness programs. 

 I would like to see if the school were to ever consider that the little kids could go to a "" sweatsuit"" day for the day they have Gym.  I realize that the big kids need to change after sweating in Gym but if the school went to a Warm up for the younger kids, a universal color and logo, it can be handed down from child to child and I think would allow the little ones to move better and engage more in their gym day.  Shorts, tee shirts can be worn on gym days and they stay in the tee but wear their uniform shorts over for the rest of their day.  Just an idea.  These sweatsuits can also double as team warm up for sporting teams.   Catholic schools in Chicago do it and it seems to be a good alternative also to dress down days in the older grades. 


"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Academics manipulatives/resources communication,"Discipline dealing with children who consistently act up jr high teachers need to communicate with one another to avoid having multiple tests, longer assignments etc on the same day",
,,,,,,,,,,,,,,,,,,,,"Parent involvement in school, qualified teachers & principal, new building addition","Integration of new students, interpersonal relationships between students & parents. I sometimes feel very disconnected to the school/parents as a minority",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"School community , location, academic rep",,
,,,,,,,,,,,,,,,,,,,,,,
,,The math curriculum should include a textbook or online textbook. Currently the students make their own by cutting and pasting into a composition book. ,I would have to say that most are but I have heard stories of children being fearful of asking for help in math. We are blessed that our child catches onto topics quickly but am sure that she would not got to her math teacher for help.,,,,,Mrs. Gelchion is a wonderful teacher and excellent Christian example for our children.,,,,,On the average the teachers were  welcoming but the students have been together for many years and were much less welcoming. Middle school is a difficult time and it would have been a better transition had the school families would be more welcoming to outside families. Inner challenge helped address some of these  instances but that program was discontinued.,,,,,,,,The science curriculum needs to be revised to better engage and prepare our students for high school and college. So many children turn away from the sciences due to lack of interest in middle school. You have a wonderful facility which needs to be utilized.,
,,,,,,,,,,,,,,"Hot lunch is good, keep working on making it more healthy.  Wish we could have it more than 2 days a week.  Car line is still a little long.  ",,"Sometimes forgets to update the dates, etc. on the newsletters, and they are so well done I wonder if this is really what happens in class.",,,,"community, academics, faith based/ethics","more hands on service projects, more creativity allowed in writing assignments",
