"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"United Parcel Service, Inc.","Oil and Gas","Disclose direct and indirect lobbying","Climate Change; 
                    
                    
                        Public Policy","Walden Asset Management","Vote: 22.6%",2016,"NOT"
"National Fuel Gas Company","Oil and Gas","Report on plans to mitigate methane emissions","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Arjuna Capital","Vote: 25.2%",2016,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Adopt a policy on imperative for 2 degree limit","Climate Change","Sisters of St. Dominic (Caldwell, NJ)","Vote: 18.5%",2016,"NOT"
"AES Corporation","Electric Power","Assess the business impacts of a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","Mercy Investment Services, Inc.","Vote: 42.2%",2016,"PDF"
"T. Rowe Price Group, Inc.","Financial Services","Issue a report on climate change proxy voting practices","Climate Change; 
                    
                    
                        Proxy Voting Policies","Zevin Asset Management","Vote: 8.5%",2016,"NOT"
"Hubbell Inc","Manufacturing","Set public goals to increase company-wide energy productivity","Energy Efficiency (industrial)","Walden Asset Management","Withdrawn; Company will address",2016,"NOT"
"Devon Energy Corporation","Oil and Gas","Review Public Policy Advocacy on Climate and Energy","Climate Change; 
                    
                    
                        Public Policy","The Needmor Fund","Vote: 21.2%",2016,"NOT"
"Phillips 66","Oil and Gas","Review Public Policy Advocacy on Climate Change","Climate Change; 
                    
                    
                        Public Policy","The Needmor Fund","Withdrawn; Company will address",2016,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","Review Public Policy Advocacy on Climate and Energy","Climate Change; 
                    
                    
                        Public Policy","The Needmor Fund","Vote: 27.9%",2016,"NOT"
"Chevron Corporation","Oil and Gas","Review Public Policy Advocacy on Climate Change","Climate Change; 
                    
                    
                        Public Policy","Philadelphia Public Employees Retirement System","Withdrawn; Ongoing dialogue",2016,"NOT"
"Fluor Corporation","Construction","Set science-based greenhouse gas reduction goals","Greenhouse Gas Emissions","New York State Comptroller","Vote: 42.9%",2016,"PDF"
"AT&T, Inc.","Communications","Set Targets for Sourcing Renewable Energy","Climate Change; 
                    
                    
                        Renewables","Trillium Asset Management","Withdrawn",2016,"NOT"
"Coca-Cola Company","Food and Beverage","Report on Feasibility and Benefits of Setting Targets to Source Renewable Energy","Climate Change; 
                    
                    
                        Renewables","As You Sow","Withdrawn; Company will address",2016,"NOT"
"Entergy Corporation","Electric Power","Report on low carbon business model 2016","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Renewables","As You Sow","Vote: 37%",2016,"PDF"
"Duke Energy Corporation","Electric Power","Assess adaptation of business model to increase distributed low-carbon energy resources","Energy Efficiency (utilities); 
                    
                    
                        Renewables","The Nathan Cummings Foundation","Withdrawn; Company will address",2016,"NOT"
"American Express Company","Financial Services","Report on lobbying policies and spending","Climate Change; 
                    
                    
                        Public Policy","Missionary Oblates of Mary Immaculate","Withdrawn; Company will address",2016,"NOT"
"American Electric Power Co., Inc.","Electric Power","Report on stranded assets due to climate change","Climate Change; 
                    
                    
                        Renewables; 
                    
                    
                        Carbon Asset Risk","As You Sow","Withdrawn; Company will address",2016,"NOT"
"International Business Machines Corp.","Technology","Report on Direct and Indirect Lobbying","Climate Change; 
                    
                    
                        Public Policy","First Affirmative Financial Network, LLC","Vote: 25%",2016,"NOT"
"Ameren Corporation","Electric Power","Issue report analyzing renewable energy adoption 2016","Renewables","As You Sow","Vote: 11.2%",2016,"PDF"
"EOG Resources, Inc.","Oil and Gas","Report on methane emissions reductions efforts","Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","Trillium Asset Management","Withdrawn; Company will address",2016,"NOT"
"Verizon Communications Inc.","ICT and Media","Set targets to increase renewable energy sourcing 2016","Renewables","Trillium Asset Management","Vote: 8.3%",2016,"PDF"
"Clarcor Inc.","Manufacturing","Issue sustainability report including GHG reduction goals","Climate Change; 
                    
                    
                        Sustainability Reporting","Walden Asset Management","Vote: 60.8%",2016,"NOT"
"Dominion Resources, Inc.","Electric Power","Report on Climate Change and Business Model","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Renewables","Calvert Research & Management","Vote: 21.3%",2016,"PDF"
"Duke Energy Corporation","Electric Power","Study Impact Efficiency and Distributed Generation","Energy Efficiency (utilities); 
                    
                    
                        Renewables","Connecticut Office of the State Treasurer","Withdrawn; Company will address",2016,"NOT"
"Energen Corp.","Oil and Gas","Report on methane emission management","Climate Change; 
                    
                    
                        Methane Emissions","California State Teachers' Retirement System","Vote: 28.9%",2016,"PDF"
"SPX Corporation","Manufacturing","Issue a sustainability report including goals for relevant issues","Sustainability Reporting","Sonen Capital","Withdrawn; Company will address",2016,"NOT"
"Continental Resources Inc.","Oil and Gas","Report on impacts of fracking","Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Mercy Investment Services, Inc.","Vote: 5.6%",2016,"NOT"
"Nucor Corporation","Manufacturing","Set science-based GHG goals","Climate Change","Pax World Management Corp.","Vote: 27.4%",2016,"NOT"
